question,document,answer_llm,score,reasoning
How do you test compliance with 12.8.2 a and b?,320,"Written agreements with all TPSPs must be defined, maintained, and reviewed to confirm they include the required TPSP acknowledgment about protecting account data and anything that could affect the CDE.

- **12.8.2.a:** Examine policies and procedures to verify processes are defined to maintain written agreements with all TPSPs in accordance with all required elements.
- **12.8.2.b:** Examine the written agreements with TPSPs to verify they are maintained in accordance with all required elements.
- The agreements must cover **all TPSPs** with which account data is shared or that could affect the security of the CDE.
- The agreements must include TPSP acknowledgment that the TPSP is responsible for:
  - account data the TPSP possesses, stores, processes, or transmits on behalf of the entity, or
  - the security of the entity’s cardholder data and/or sensitive authentication data to the extent the TPSP could impact it.

Source: req. 12.8.2 (p. 320)",good,"The answer accurately restates the testing procedures for 12.8.2.a and 12.8.2.b from the page and includes the required agreement contents and scope. The only issue is the source citation page number appears inconsistent with the provided page (the page shown is 316, not 320), but the substantive content is supported by the page."
How do assessors verify A3.1.1 compliance?,352,"Assessors verify A3.1.1 by checking documentation and governance records to confirm executive management has assigned accountability, defined the PCI DSS compliance program charter, and provided at least annual updates on PCI DSS initiatives and remediation.

- Examine documentation to verify executive management has assigned overall accountability for maintaining PCI DSS compliance.
- Examine the PCI DSS charter to verify it outlines the conditions under which the PCI DSS compliance program is organized.
- Examine executive management and board of directors meeting minutes and/or presentations to ensure PCI DSS compliance initiatives and remediation activities are communicated at least once every 12 months.

Source: req. A3.1.1 (p. 352)",good,"The answer matches the page’s testing procedures for A3.1.1: it lists the three examination steps and the substance of each is supported by the page. The only issue is the page number citation, which says page 348 rather than 352, but that does not affect the correctness of the compliance verification description."
"Does the monitoring process have to cover each TPSP individually, or can it be general?",323,"1. The monitoring process has to cover the PCI DSS compliance status of each TPSP, and when a TPSP offers multiple services, the monitoring should be specific to the services delivered to the entity and in scope for the entity’s PCI DSS assessment.

- Monitor TPSPs’ PCI DSS compliance status at least once every 12 months.
- Verify the PCI DSS compliance status of each TPSP at least once every 12 months.
- If the TPSP offers a variety of services, the monitored status should be specific to:
  - the services delivered to the entity, and
  - the services in scope for the entity’s PCI DSS assessment.

Source: req. 12.8.4 (p. 319)",good,"The answer correctly says the monitoring must cover each TPSP at least every 12 months, and it also captures the guidance that when a TPSP offers multiple services, the monitored status should be specific to the services delivered and in scope. This is supported by the page."
What has to be in place for manual cleartext key-management operations under PCI DSS 3.7.6?,110,"Manual cleartext key-management operations must be governed by policies and procedures that use split knowledge and dual control so no single person can perform the operation alone.

- Applies to manual key-management operations performed by personnel.
- Examples of manual operations include:
  - key generation
  - transmission
  - loading
  - storage
  - destruction
- Split knowledge means key components are separately held so each person knows only their own component.
- Dual control means two or more people must authenticate the use of a key or perform the key-management function.
- A single person cannot access or use another person’s authentication factor.
- A simple two-part split of a key does not meet the requirement.
- If key components or key shares are used, they must be generated either:
  - using an approved random number generator within a secure cryptographic device, such as an HSM or PTS-approved POI device, or
  - according to ISO 19592 or an equivalent industry standard for secret key shares.

Source: req. 3.7.6 (p. 110)",bad,"The answer correctly states that manual cleartext key-management operations must be governed by policies and procedures using split knowledge and dual control, and it correctly defines those concepts in line with the page. However, it includes several extra claims not supported by this page, such as examples of manual operations (key generation, transmission, loading, storage, destruction), and it cites page 110 while the provided page is 106. Since the evaluation requires every claim to be supported by the page, the answer is not fully supported."
What controls are required if a system or application account can be used to log in interactively?,210,"If a system or application account can be used interactively, it must be tightly controlled so interactive use is only allowed for exceptional, approved, and attributable cases, and its passwords/passphrases must not be hard coded.

- Prevent interactive use unless needed for an exceptional circumstance.
- Limit interactive use to the time needed for that exceptional circumstance.
- Document the business justification for interactive use.
- Get explicit management approval for interactive use.
- Confirm the individual user’s identity before granting access to the account.
- Ensure every action taken is attributable to an individual user.
- Do not hard code passwords/passphrases in scripts, configuration/property files, or bespoke/custom source code.
- Stored passwords/passphrases must be encrypted per Requirement 8.3.2.
- Access should also be limited to the least privileges necessary and only to the systems, applications, or processes that specifically require the account’s use.

Source: req. 8.6.1 (p. 210), req. 8.6.2 (p. 211), req. 7.2.5 (p. 173)",bad,"The answer correctly lists the interactive-use controls from Requirement 8.6.1 that are on the page. However, it also adds several claims not supported by the provided page, including hardcoded password prohibitions, encryption of stored passwords, least privilege limitations, and citations to requirements/pages not on this page. The page only supports 8.6.1 and its listed controls, plus the note that this is a best practice until 31 March 2025. Therefore the answer is not fully supported by the page."
"What inventory details are needed for HSMs, KMS, and other secure cryptographic devices?",101,"The inventory for HSMs, KMSs, and other secure cryptographic devices must identify the devices used for key management and describe where they are and what kind they are.

- Include an inventory of any HSMs, KMSs, and other secure cryptographic devices (SCDs) used for key management.
- Record the type of device.
- Record the location of each device.
- This inventory supports meeting Requirement 12.3.4.

Source: req. 3.6.1.1 (p. 101)",good,"The answer correctly states that the inventory must include HSMs, KMSs, and other SCDs used for key management, and that it must include type and location. It also correctly notes the support for Requirement 12.3.4. However, it cites the wrong page number (p. 101 instead of the provided p. 97). Since the substance is supported by the page and the question is answered, the answer is good."
"For A1.2.1, who is allowed to review a customer’s logs?",343,"Only the owning customer is allowed to review that customer’s logs.

- Audit log capability must be enabled for each customer’s environment.
- Logs must be available for review only by the owning customer.
- Log locations must be clearly communicated to the owning customer.

Source: req. A1.2.1 (p. 343)",good,"The answer correctly states that only the owning customer may review a customer's logs, which is explicitly supported by the page. The added bullet points are also consistent with the requirement. The page number citation is slightly off, but that does not affect correctness of the substance."
What does requirement 10.4.3 say about exceptions and anomalies in the review process?,255,"Requirement 10.4.3 says that exceptions and anomalies found during the review process must be addressed.

- Processes must be defined for addressing exceptions and anomalies identified during the review process.
- When exceptions and anomalies are identified, they must be addressed.
- The guidance notes that entities should consider how to:
  - record log review activities,
  - rank and prioritize exceptions and anomalies,
  - define procedures to report and escalate them, and
  - assign responsibility for investigation and remediation.

Source: req. 10.4.3 (p. 255)",good,"The answer correctly states that exceptions and anomalies identified during the review process are addressed, and it includes guidance points that are supported by the page. However, it cites the source page as p. 255, while the provided page is 251. Since the substance is correct and supported by the page, the answer is overall good despite the citation error."
How do you check that anti-malware is set up correctly for removable electronic media under 5.3.3?,133,"Anti-malware for removable electronic media must be verified to either auto-scan when the media is inserted/connected/mounted, or continuously analyze behavior at that time.

- Check anti-malware configurations to confirm at least one of the required protections is enabled.
- Check system components with removable media connected to confirm the solution is enabled as configured.
- Check logs and scan results to confirm the solution is operating as required.
- This requirement is a best practice until 31 March 2025, after which it is required.

Source: req. 5.3.3 (p. 133)",bad,"The answer matches the page’s requirement and testing procedures for 5.3.3, including the two allowed protections and the three verification methods. However, it cites the wrong page number (“p. 133” instead of the provided page 129), which is an unsupported citation from the page. Since the substance is correct but it includes an incorrect page reference, mark it bad under the evaluation rules."
What should the reviewer check in NSC settings for 1.2.5?,51,"1. The reviewer should check that the NSC settings allow only services, protocols, and ports that have been approved and have a defined business need.  
2. Specifics:
- Verify that only approved services, protocols, and ports are in use.
- Confirm the allowed items match the documented list of permitted services, protocols, and ports.
- Ensure each permitted item has business justification and approval.
- NSC configuration settings should not include unapproved traffic allowances.

Source: req. 1.2.5 (p. 51)",good,"The answer is consistent with the page’s testing procedure for 1.2.5.b: examine configuration settings for NSCs to verify that only approved services, protocols, and ports are in use. It also correctly reflects the requirement that allowed services, protocols, and ports are identified, approved, and have a defined business need. The extra details about matching the documented list and business justification/approval are supported by 1.2.5.a and the requirement text. The cited page number is different from the provided page, but that does not affect substance here."
What should the awareness program teach personnel about their responsibilities for cardholder data protection?,313,"Personnel should be taught that they have a role in protecting cardholder data and must understand the entity’s information security policies and procedures.

- The awareness program must make all personnel aware of the entity’s information security policy and procedures.
- It must explain personnel’s role in protecting cardholder data.
- Personnel should also understand their responsibility for the operation of relevant security controls and be able to access assistance and guidance when required.

Source: req. 12.6.1 (p. 313)",good,"The answer matches the page: it states that the awareness program must make personnel aware of the entity’s information security policy and procedures and their role in protecting cardholder data. It also includes the customized approach objective about responsibility for relevant security controls and access to assistance/guidance, which is on the page. The citation page number is slightly off, but that does not affect the substantive correctness."
"Does the annual inventory requirement apply to all electronic media, or only media containing cardholder data?",229,"Inventory applies only to electronic media containing cardholder data, not all electronic media.

- Requirement 9.4.5 covers “all electronic media with cardholder data.”
- Requirement 9.4.5.1 says inventories of electronic media with cardholder data must be conducted at least once every 12 months.
- The context does not extend this annual inventory requirement to electronic media that does not contain cardholder data.

Source: req. 9.4.5 (p. 228); req. 9.4.5.1 (p. 229)",good,"The page states that inventories are required for electronic media with cardholder data at least once every 12 months. The answer correctly says the annual inventory applies only to media containing cardholder data. However, it cites requirement 9.4.5 and page numbers not shown on the provided page, which are unsupported by the page excerpt, but the substantive answer to the question is correct and supported by the page itself."
What does 7.1.2 require for roles and responsibilities in Requirement 7?,167,"Roles and responsibilities for all activities in Requirement 7 must be documented, assigned, and understood by the personnel who perform them.

- Descriptions of roles and responsibilities for performing Requirement 7 activities must be documented and assigned.
- Personnel with responsibility for Requirement 7 activities must be able to verify that the roles and responsibilities are assigned and understood.
- Good practice notes that roles and responsibilities may be documented in policies/procedures or separate documents.
- A RACI matrix is given as an example method for documenting responsibilities.
- The customized approach objective says day-to-day responsibilities for all Requirement 7 activities are allocated and personnel are accountable for successful, continuous operation.

Source: req. 7.1.2 (p. 167)",good,"The answer correctly states that Requirement 7.1.2 requires roles and responsibilities for performing activities in Requirement 7 to be documented, assigned, and understood. It also includes supporting guidance from the page: good practice on documenting roles/responsibilities, the RACI example, and the customized approach objective. The only issue is the cited page number differs from the provided page, but the substantive content matches the page and answers the question."
How do you check that card-data storage isn’t reachable from an untrusted network?,61,"Card-data storage is checked by verifying it is documented and technically controlled so system components storing cardholder data cannot be directly reached from untrusted networks.

- Examine the data-flow diagram and network diagram to confirm the storage components are documented as not directly accessible from untrusted networks.
- Examine NSC configurations to confirm controls are implemented so those storage components are not directly accessible from untrusted networks.
- Related network boundary checks: NSCs should be implemented between trusted and untrusted networks, and inbound traffic from untrusted to trusted networks should be restricted to authorized public services, stateful responses, and denied otherwise.

Source: req. 1.4.4 (p. 61)",bad,"The answer correctly states the core testing steps from requirement 1.4.4: examine the data-flow and network diagrams, and examine NSC configurations to verify stored cardholder data is not directly accessible from untrusted networks. However, it adds extra claims about inbound traffic restrictions and cites page 61, which are not supported by the provided page. Because of the unsupported extra detail/citation, it is not fully supported by the page."
What should account access be limited to according to 7.2.5?,173,"Account access should be limited to the least privileges necessary and only to the systems, applications, or processes that specifically require the account’s use.

- Based on the least privileges necessary for the operability of the system or application.
- Limited to the systems, applications, or processes that specifically require their use.

Source: req. 7.2.5 (p. 173)",good,"The answer matches the requirement text on the page: access for application and system accounts is based on the least privileges necessary and limited to systems, applications, or processes that specifically require their use. The cited requirement number is correct, though the page number cited by the assistant differs from the provided page and is not relevant to correctness here."
What do interviewees need to show for 10.1.2 compliance?,242,"Interviewees need to verify that the roles and responsibilities for performing Requirement 10 activities are assigned as defined and understood.

- Personnel responsible for Requirement 10 activities should be able to explain their assigned roles and responsibilities.
- The testing procedure specifically checks that these responsibilities are understood, not just documented.
- The roles and responsibilities must already be documented and assigned.

Source: req. 10.1.2 (p. 242)",good,"The answer matches the page: 10.1.2.b says to interview personnel with responsibility for Requirement 10 to verify that roles and responsibilities are assigned as defined and are understood. The added point that they must be documented and assigned is also supported by 10.1.2 and 10.1.2.a. The cited page number is off, but the substance is correct and supported by the page provided."
What changes trigger an external pen test again?,281,"An external penetration test must be repeated after any significant infrastructure or application upgrade or change.

- Perform it per the entity’s defined methodology.
- Perform it at least once every 12 months.
- The tester must be a qualified internal resource or qualified external third party.
- Organizational independence of the tester must exist.

Source: req. 11.4.3 (p. 277)",good,"The answer correctly states that an external penetration test is repeated after any significant infrastructure or application upgrade or change, which is explicitly listed on the page. The extra bullets are also supported by the page. The only minor issue is that the question asks what changes trigger it again, and the answer does answer that directly while adding related requirements."
What do assessors review to confirm 6.3.3 is being followed?,152,"Assessors review policies, procedures, system components, and installed patch records to confirm that applicable security patches and updates are being installed correctly.

- They verify procedures are defined for addressing vulnerabilities by installing applicable patches/updates.
- They examine system components and related software.
- They compare the list of installed security patches/updates to the most recent patch/update information.
- They confirm critical vulnerability patches/updates are installed within one month of release.
- They confirm all other applicable patches/updates are installed within a time frame based on the entity’s risk assessment under 6.3.1.

Source: req. 6.3.3 (p. 152)",good,"The answer is mostly supported by the page: assessors examine policies/procedures and system components/installed patches, and it mentions the timing requirements in 6.3.3. However, it cites the wrong page number (p. 152 instead of the provided page 148). The citation error does not affect the substance of the answer, and all substantive claims match the page."
What has to be true for internal vulnerability scans under 11.3.1.2?,273,"Internal vulnerability scans under 11.3.1.2 must be performed with authenticated scanning, with enough privilege for systems that accept credentials.

- Systems that cannot accept credentials for authenticated scanning must be documented.
- Systems that do accept credentials must be scanned using sufficient privileges to conduct a thorough scan.
- If the scanning accounts can also be used for interactive login, they must be managed according to Requirement 8.2.2.
- This requirement does not apply to system components that cannot accept credentials for scanning.
- Examples of systems that may not accept credentials include some network and security appliances, mainframes, and containers.
- This requirement is a best practice until 31 March 2025; after that, it is required and must be fully considered during a PCI DSS assessment.

Source: req. 11.3.1.2 (p. 273)",good,"The answer matches the page: it states authenticated scanning is required for internal scans, notes documentation for systems unable to accept credentials, sufficient privileges for systems that do, the 8.2.2 condition for interactive-login accounts, and the applicability note about systems that cannot accept credentials. The extra statements about examples and best-practice timing are also supported by the page. The cited page number is wrong, but the substance is supported."
What should the team do if PAN is discovered outside the CDE?,337,"Cleartext PAN discovered outside the CDE should be analyzed and remediated by retrieving it, securely deleting it, and/or migrating it into the currently defined CDE as applicable.

- Determine what to do with the PAN if it is found outside the CDE.
- Identify how the data ended up outside the CDE.
- Identify the source of the data.
- Determine whether sensitive authentication data or track data is stored with the PAN.
- Remediate the data leak or process gaps that caused the PAN to be outside the CDE.
- Address contributory factors such as business processes, user behavior, or improper system configurations to prevent recurrence.

Source: req. A3.2.5.2 (p. 364); req. 12.10.7 (p. 337)",bad,"The answer is broadly consistent with the page: it says PAN found outside the CDE should be analyzed, and incident response should include retrieval, secure deletion, and/or migration, plus identifying the source and remediating gaps. However, it adds 'track data' which is not stated on the page, and it cites requirement A3.2.5.2 and page 364, which are not on the provided page. Since it includes unsupported/correctness-uncertain claims and incorrect citations, it should be marked bad."
