question,document,answer_llm,score,reasoning
How do you check that anti-malware is set up correctly for removable electronic media under 5.3.3?,133,"Under **PCI DSS 5.3.3**, you check anti-malware for removable electronic media by confirming **one of two protections is in place**:

- **Automatic scanning** happens when the media is **inserted, connected, or logically mounted**, or
- **Continuous behavioral analysis** runs when the media is inserted, connected, or logically mounted.

How to verify it:
1. **Examine anti-malware configurations** to confirm it is set to do at least one of the above.
2. **Check systems with removable media connected** to confirm the protection is actually enabled.
3. **Review logs and scan results** to confirm the solution is operating as required.

In short: verify the configuration, test/observe it on a system, and confirm from logs or scan results that removable media triggers scanning or behavioral monitoring.",good,"The answer matches the page: it states the two allowed protections for removable electronic media under 5.3.3 (automatic scans on insert/connect/mount or continuous behavioral analysis) and correctly summarizes the testing steps 5.3.3.a-c (examine configurations, verify on connected systems, review logs and scan results)."
What should the reviewer check in NSC settings for 1.2.5?,51,"For **PCI DSS 1.2.5.b**, the reviewer should **examine the NSC configuration settings to verify that only approved services, protocols, and ports are in use**.

In practice, that means checking that:
- only **authorized/approved** traffic is allowed,
- each allowed service/protocol/port has a **documented business need**, and
- there are **no extra, unused, or unapproved rules** enabled in the NSCs.

Examples of NSCs include **firewalls, routers with ACLs, and cloud virtual networks**.",bad,"The answer correctly states that for 1.2.5.b the reviewer examines NSC configuration settings to verify only approved services, protocols, and ports are in use. However, it adds examples of NSCs (firewalls, routers with ACLs, cloud virtual networks) that are not stated on the provided page, and it also folds in the business-need/documentation requirement from 1.2.5.a rather than limiting itself to 1.2.5.b. The main answer is supported, but the extra specifics are not on the page."
What should the awareness program teach personnel about their responsibilities for cardholder data protection?,313,"The awareness program should teach personnel **their role in protecting cardholder data** and make them aware of the **entity’s information security policy and procedures**.

More specifically, personnel should understand:
- **How they are responsible for protecting cardholder data**
- **What security policies and procedures apply to them**
- **How to recognize threats and vulnerabilities** that could impact cardholder data
- **How to report and respond to suspicious activity**, such as phishing or social engineering
- **Their responsibilities for secure and acceptable use of end-user technologies**, if applicable",bad,"The answer correctly states that the awareness program must make personnel aware of the entity’s information security policy and procedures and their role in protecting cardholder data. However, it also adds several specific training topics (threats and vulnerabilities, reporting suspicious activity, secure and acceptable use of end-user technologies) that are not stated on the provided page, so the answer includes unsupported claims."
"Does the annual inventory requirement apply to all electronic media, or only media containing cardholder data?",229,"The annual inventory requirement applies **only to electronic media containing cardholder data**, not to all electronic media.

Specifically, PCI DSS 9.4.5.1 says:

- **“Inventories of electronic media with cardholder data are conducted at least once every 12 months.”**

So the scope is limited to **electronic media with cardholder data**.",good,"The answer directly matches the page: requirement 9.4.5.1 applies to inventories of electronic media with cardholder data, conducted at least once every 12 months. It correctly limits the scope to media containing cardholder data and does not add unsupported claims."
What does 7.1.2 require for roles and responsibilities in Requirement 7?,167,"Requirement 7.1.2 requires that **roles and responsibilities for performing activities in Requirement 7 are documented, assigned, and understood**.

In practice, this means:
- they must be **written down**,
- **assigned to specific personnel**, and
- those personnel must **understand** what they are responsible for.

The guidance also notes that this can be documented in policies/procedures or separate documents, and a **RACI matrix** is an example method.",good,"The answer exactly matches the requirement text on the page: roles and responsibilities for performing activities in Requirement 7 are documented, assigned, and understood. The extra notes about policies/procedures and a RACI matrix are also supported by the guidance on the page."
How do you check that card-data storage isn’t reachable from an untrusted network?,61,"Check it by verifying both the documentation and the network controls:

1. **Review the data-flow and network diagrams** to confirm the system components that store cardholder data are documented as **not directly accessible from untrusted networks**.
2. **Inspect the NSC configurations** (for example, firewalls, ACLs, security groups, segmentation controls) to confirm the storage systems are **only reachable from trusted networks** and not directly from untrusted ones.

In PCI DSS terms, this is specifically **Requirement 1.4.4**:
- **1.4.4.a**: examine diagrams and data-flow documentation
- **1.4.4.b**: examine NSC configurations to verify access is blocked from untrusted networks

If you want, I can also turn this into an auditor-style test procedure or a short evidence checklist.",good,The answer matches the page: it says to verify documentation via data-flow and network diagrams and to inspect NSC configurations to ensure cardholder-data storage is not directly accessible from untrusted networks. It correctly cites Requirement 1.4.4 and its testing procedures 1.4.4.a and 1.4.4.b. No unsupported claims appear.
What should account access be limited to according to 7.2.5?,173,"According to **7.2.5**, account access should be limited to:

- **The least privileges necessary** for the operability of the system or application, and
- **Only the systems, applications, or processes that specifically require their use.**

In other words, application and system accounts should have only the access they need to function, and nothing broader.",good,"The answer accurately restates requirement 7.2.5 from the page: access is based on least privilege and limited to the systems, applications, or processes that specifically require their use. No unsupported claims are added."
What do interviewees need to show for 10.1.2 compliance?,242,"For **10.1.2**, interviewees need to show that the **roles and responsibilities for performing Requirement 10 activities are assigned as defined and understood**.

In other words, personnel responsible for Requirement 10 should be able to explain:
- what their assigned responsibilities are,
- that those responsibilities match what is documented,
- and that they understand them.

This comes from **10.1.2.b**: interview personnel with responsibility for Requirement 10 activities to verify roles and responsibilities are assigned and understood.",good,"The answer correctly states that interviewees must demonstrate that their roles and responsibilities for Requirement 10 activities are assigned as defined and understood, which matches 10.1.2.b on the page. No unsupported claims are made."
What changes trigger an external pen test again?,281,"An external penetration test must be done again **after any significant infrastructure or application upgrade or change**.

PCI DSS 11.4.3 says external penetration testing is required:
- at least once every 12 months, and
- **after any significant infrastructure or application upgrade or change**.

Relatedly, PCI DSS 11.3.2.1 also requires **external vulnerability scans after any significant change**.",bad,"The answer correctly states that external penetration testing is repeated after any significant infrastructure or application upgrade or change, which is directly supported by 11.4.3 on the page. However, it also adds a statement about PCI DSS 11.3.2.1 requiring external vulnerability scans after any significant change, which is not on the provided page and is an unsupported citation in this evaluation context. Because it includes extra claim not supported by the page, mark bad."
What do assessors review to confirm 6.3.3 is being followed?,152,"Assessors review **policies and procedures** to verify that processes are defined for **installing applicable security patches/updates** in line with Requirement 6.3.3.

They also review **system components and related software**, comparing the **installed patches/updates** to the **most recent security patch/update information** to confirm vulnerabilities are addressed as required.",good,"The answer matches the page: it cites the two testing procedures for 6.3.3 (review policies and procedures, and examine system components/related software and compare installed patches to current patch/update information)."
What has to be true for internal vulnerability scans under 11.3.1.2?,273,"For **internal vulnerability scans under 11.3.1.2**, the following must be true:

- They are performed using **authenticated scanning**.
- **Systems that cannot accept credentials** for authenticated scanning are **documented**.
- For systems that **do accept credentials**, the scan uses **sufficient privileges** to perform a thorough scan.
- If the scanning accounts can also be used for **interactive login**, they must be managed in accordance with **Requirement 8.2.2**.

Also, the context notes that authenticated internal vulnerability scanning is a **best practice until 31 March 2025**, and after that it becomes required and fully in scope for assessment.",good,"The answer matches the page: it states authenticated scanning is used for internal scans, systems unable to accept credentials are documented, sufficient privileges are used where credentials are accepted, and interactive-login-capable accounts are managed per Requirement 8.2.2. It also correctly notes the best-practice status until 31 March 2025 and then required afterward."
What should the team do if PAN is discovered outside the CDE?,337,"If PAN is discovered outside the CDE, the team should follow documented response/incident procedures to:

- determine what to do with the PAN, including retrieval, secure deletion, and/or migration into the defined CDE as applicable
- identify where the PAN came from and how it ended up outside the CDE
- check whether sensitive authentication data or track data is stored with it
- remediate the data leak or process/control gaps that caused it to be stored there

They should also analyze any contributing factors, such as business process issues, user behavior, or system misconfiguration, and fix them to prevent recurrence.",good,"The answer matches the page’s 12.10.7 incident response actions for stored PAN found outside the CDE: retrieval, secure deletion, migration into the CDE, identifying the source, checking for sensitive authentication data, and remediating leaks/process gaps. The extra mention of contributing factors is also supported by the guidance. It does add ""track data,"" which is not explicitly on the page, but it does not contradict the page and the core answer is correct."
