question,document
Which PCI DSS requirement covers multi-tenant service provider support for customer external penetration testing?,285
"In the customized approach, how can a multi-tenant service provider meet the customer testing need?",285
What has to be in place to detect and stop network intrusions in the CDE?,287
Where does the standard require traffic to be monitored for intrusion detection or prevention?,287
What should happen when an IDS or IPS suspects a compromise?,287
How do you verify the IDS/IPS setup for requirement 11.5.1?,287
"What does 11.5.1 say about keeping detection engines, baselines, and signatures current?",287
"For service providers, what has to be in place to spot or stop covert malware communications?",288
How do you prove the covert-channel control is working during an assessment?,288
What has to be included in the incident response plan if covert malware communication is found?,288
What do assessors check to confirm staff know how to respond when malware is suspected?,288
"Under requirement 11.5.1.1, what techniques are required for service providers?",288
What does 11.5.2 require for detecting changes to critical files?,290
How often must critical file comparisons be run under 11.5.2?,290
"What kinds of file changes has to alert staff—just edits, or adds and deletes too?",290
How is compliance with 11.5.2 checked during testing?,290
"Under 11.5.2, what evidence should be reviewed to confirm the change-detection tool is set up correctly?",290
What has to be in place to detect unauthorized changes on payment pages?,292
How often does the change- and tamper-detection check need to run under 11.6.1?,292
What exactly must the detection mechanism alert on for payment pages received by the browser?,292
How do you verify compliance with requirement 11.6.1?,292
"If the control doesn’t run weekly, what risk-analysis evidence is needed for 11.6.1?",292
What does PCI DSS require for the organization’s overall information security policy under 12.1?,295
"According to 12.1.1, what four things has the information security policy been through?",295
How do you verify compliance with the overall information security policy requirement?,295
Who needs to be made aware of the information security policy and their responsibilities?,295
What is the purpose of having a comprehensive information security policy in place?,295
"How often does the information security policy need to be reviewed, and when must it be updated?",297
What does PCI DSS 12.1.3 require the security policy to say about security roles and responsibilities?,297
How do assessors check that the information security policy is being managed properly under 12.1.2?,297
What evidence is needed to show staff understand and acknowledge their security responsibilities under 12.1.3?,297
What is the objective behind requirements 12.1.2 and 12.1.3?,297
What does 12.1.4 require about who owns information security at the executive level?,298
How do you verify compliance with 12.1.4?,298
"Does the requirement need a CISO specifically, or can another executive with security knowledge be assigned?",298
What kind of evidence should show that information security is formally assigned to executive management?,298
What is the objective of 12.1.4 in the customized approach?,298
What has to be in an acceptable use policy for end-user tech under 12.2.1?,299
How do you verify the end-user technology acceptable use policy is actually implemented?,299
"Does 12.2.1 require formal approval, and if so, by whom?",299
What kinds of devices and services are covered by the acceptable use policy requirement?,299
What is the main requirement in 12.2 about acceptable use policies for end-user technologies?,299
What has to be documented in a targeted risk analysis for 12.3.1?,300
How often do we need to review each targeted risk analysis under 12.3.1?,300
What does PCI DSS want us to identify in the analysis for the protected assets and threats?,300
What should the review and update process for targeted risk analyses include to satisfy 12.3.1?,300
"For requirement 12.3, what is the purpose of doing a targeted risk analysis instead of a broader risk assessment?",300
What has to be done for each PCI DSS requirement covered by a customized approach under 12.3.2?,302
What evidence needs to be documented for the targeted risk analysis in 12.3.2?,302
Who has to approve the documented risk-analysis evidence for 12.3.2?,302
How often does the targeted risk analysis need to be repeated under 12.3.2?,302
How do assessors check compliance with requirement 12.3.2 for a customized approach?,302
"What has to be documented and reviewed for cryptographic cipher suites and protocols, and how often?",303
What needs to be in the inventory of cryptographic suites and protocols under requirement 12.3.3?,303
How do you verify compliance with 12.3.3?,303
Which cryptographic uses are covered by 12.3.3?,303
When does 12.3.3 stop being a best practice and become required?,303
How often do hardware and software technologies have to be reviewed under 12.3.4?,304
What has to be included in the technology review for 12.3.4?,304
What proof do assessors look for to confirm 12.3.4 is met?,304
Does 12.3.4 require senior-management approval for the remediation plan?,304
"Is 12.3.4 mandatory yet, or still a best practice until a certain date?",304
What has executive management got to set up for cardholder data protection and PCI DSS compliance when the organization is a service provider?,305
What has to be in the PCI DSS compliance program under requirement 12.4.1 for service providers?,305
Which PCI DSS requirement says compliance is managed?,305
How do you verify the service provider version of 12.4.1?,305
Who can count as executive management for this requirement?,305
What does PCI DSS 12.4.2 require service providers to do every three months?,306
"Who has to perform the 12.4.2 reviews, and can the same people check their own work?",306
Which tasks are covered by the quarterly review requirement in 12.4.2?,306
How do assessors verify compliance with 12.4.2 in a service provider assessment?,306
"Does requirement 12.4.2 apply to merchants, or only to service providers?",306
What must service providers document for their Requirement 12.4.2 reviews?,307
Which three items have to be included in the review records under 12.4.2.1?,307
How do assessors verify compliance with 12.4.2.1?,307
Who has to sign off on the 12.4.2 review results?,307
Does 12.4.2.1 apply to merchants or only to service providers?,307
What has to be documented and kept current for PCI DSS scope?,308
What needs to be included in the in-scope system inventory besides the component names?,308
How do you test that the in-scope inventory is complete and up to date?,308
What requirement number covers maintaining the PCI DSS system-component inventory?,308
Why does PCI DSS want an up-to-date list of all in-scope system components?,308
"How often do we have to revalidate PCI DSS scope, and when else is it required after changes?",309
What specific items has the scoping review for 12.5.2 got to cover?,309
Which payment flows and acceptance channels need to be identified in the scope check?,309
What does 12.5.2.a require the assessor to look at to confirm the review is being done on time?,309
How is compliance with 12.5.2.b tested—what evidence has to show the scoping confirmation included every required element?,309
"What does a service provider have to do to confirm PCI DSS scope, and how often?",311
When must scope be revalidated for a service provider after changes to the environment?,311
What do assessors need to check to prove the six-month scope reviews happened for 12.5.2.1?,311
What evidence is required to show the scope review covered everything in 12.5.2?,311
"Is 12.5.2.1 mandatory yet, or still a best practice until a later date?",311
"When a service provider has a major org change, what review has to be done for PCI DSS scope and control applicability?",312
Who needs to be told about the results of that review after a significant structure change?,312
What evidence should an assessor look at to confirm this review was performed and covered the required items?,312
Which assessments does requirement 12.5.3 apply to?,312
What does 12.5.3.a require auditors to check in policies and procedures?,312
What does Requirement 12.6 say about security awareness being an ongoing activity?,313
What formal awareness program must be in place under 12.6.1?,313
Who has to be covered by the security awareness program in 12.6.1?,313
What should the awareness program teach personnel about their responsibilities for cardholder data protection?,313
How is compliance with 12.6.1 tested?,313
How often must the security awareness program be reviewed under 12.6.2?,314
What changes trigger an update to the security awareness program?,314
How is compliance with requirement 12.6.2 checked during an assessment?,314
What evidence should be examined to verify the security awareness program meets 12.6.2?,314
"Is 12.6.2 mandatory now, or still a best practice until a certain date?",314
What does requirement 12.6.3 require for security awareness training frequency for personnel?,315
How often do employees have to acknowledge the information security policy and procedures under 12.6.3?,315
What evidence should an assessor review to check compliance with 12.6.3.a through 12.6.3.d?,315
Does the security awareness program under 12.6.3 have to use more than one communication method?,315
What should interviewers confirm with personnel to satisfy 12.6.3.c?,315
What has to be covered in security awareness training under 12.6.3.1?,316
Does the training need to include phishing and social engineering threats?,316
How do you verify compliance with requirement 12.6.3.1?,316
"Is 12.6.3.1 mandatory yet, or still a best practice until a certain date?",316
Are anti-phishing technical controls enough to satisfy 12.6.3.1?,316
What does requirement 12.6.3.2 say security awareness training has to cover?,317
How do you verify that 12.6.3.2 is met?,317
"According to 12.6.3.2, what training topic must be included about end-user technology use?",317
When does 12.6.3.2 stop being a best practice and become required?,317
What is the purpose of including acceptable-use points in regular awareness training?,317
What does requirement 12.7 say about screening people before they get access to the CDE?,318
Which requirement covers checking potential hires for insider-threat risk before they start?,318
How do you verify compliance with 12.7.1?,318
"Does 12.7.1 require screening to follow local laws, and when must it happen?",318
Is screening mandatory for roles like store cashiers who only see one card number at a time?,318
What has to be kept for every third-party service provider that handles account data or could affect its security?,319
How do I show that my process for tracking third-party service providers is defined and working?,319
What should the TPSP list include besides the provider name?,319
"Which requirement covers maintaining an inventory of third-party service providers, and what is it trying to achieve?",319
Does using a PCI DSS-compliant service provider make my organization PCI DSS compliant too?,319
What written agreements do I need to keep with third-party service providers under 12.8.2?,320
"Does 12.8.2 require an acknowledgment from each TPSP about protecting data they store, process, transmit, or could affect?",320
"Which TPSPs have to be covered by the written agreement requirement—only those handling account data, or any provider that could impact the CDE?",320
How do you test compliance with 12.8.2 a and b?,320
What records are needed for the customized approach objective under 12.8.2?,320
What process has to be in place before using a third-party service provider?,322
Does requirement 12.8.3 call for due diligence before a TPSP is engaged?,322
How do you test 12.8.3 for TPSP onboarding controls?,322
What evidence and interviews are used to confirm the TPSP engagement process?,322
What must policies and procedures define for engaging TPSPs?,322
What does requirement 12.8.4 require for monitoring third-party service providers’ PCI DSS compliance status?,323
How often must TPSP PCI DSS compliance status be checked under 12.8.4?,323
What do assessors need to review to test 12.8.4 compliance?,323
"Does the monitoring process have to cover each TPSP individually, or can it be general?",323
What is the objective of the customized approach for 12.8.4?,323
What does 12.8.5 require an entity to keep track of for each third-party service provider?,325
How do you test compliance with 12.8.5.a?,325
What do auditors need to check under 12.8.5.b?,325
"Does 12.8.5 cover requirements owned by the entity, the TPSP, and shared ones?",325
What kind of record is suggested for showing who is responsible for each PCI DSS requirement?,325
What has a third-party service provider (TPSP) got to spell out in customer agreements about account data security?,327
"For service provider assessments, what do we have to look at to confirm the TPSP gives customers the right written acknowledgment?",327
"Who is 12.9.1 aimed at, and what extra obligation does it put on them?",327
"What should TPSP policies, procedures, and agreement templates include for customer onboarding?",327
What security responsibility does the TPSP need to formally acknowledge to its customers?,327
What must a TPSP give customers when they ask for PCI DSS compliance information?,329
"For 12.8.5, what details about responsibilities has to be shared for each service?",329
"Does 12.9.2 apply to all entities, or only to service providers?",329
What should assessors check to confirm the TPSP has a process for customer information requests under 12.8.4 and 12.8.5?,329
"If a TPSP has an AOC, is it expected to provide it to customers on request?",329
What has to be in place for suspected or confirmed security incidents that could affect the CDE?,331
"Which roles, contacts, and notification steps must the incident response plan cover at a minimum?",331
"What incident response items are required for 12.10.1, such as containment, recovery, backups, and legal reporting?",331
How do you verify compliance with 12.10.1.a and 12.10.1.b?,331
Does the incident response plan need to include payment brand incident response procedures and coverage of all critical system components?,331
How often does the incident response plan have to be reviewed and updated?,332
What has to be included when the incident response plan is tested?,332
How do you verify the incident response plan was tested and kept current?,332
What is required under PCI DSS 12.10.2 for incident response plan maintenance?,332
Does the incident response plan need to be tested with all elements from 12.10.1 every year?,332
What does 12.10.3 require about who’s on call for security incidents?,333
How do you check that the incident-response coverage is really 24/7 under 12.10.3?,333
Which people have to be designated to respond to suspected or confirmed security incidents?,333
What evidence and interviews are used to verify compliance with requirement 12.10.3?,333
"Do we need named personnel available at all times for incident response, or is general coverage enough?",333
"Who on the incident response team has to be trained, and how often?",334
What proof does an assessor need to see that incident response staff are trained properly?,334
How is the training frequency for incident response personnel determined under Requirement 12.10.4.1?,334
What does Requirement 12.10.4 say about training people who handle suspected or confirmed incidents?,334
What has to be included in the targeted risk analysis for incident response training under 12.10.4.1?,334
What has to be covered in the incident response plan for monitoring alerts from security tools under 12.10.5?,335
"Which alert sources does 12.10.5 say must be included, like IDS/IPS, network controls, file change detection, and rogue wireless APs?",335
How do assessors verify compliance with 12.10.5?,335
"Is alert handling for payment-page tamper detection mandatory yet, or only a best practice until 31 March 2025?",335
What does Requirement 12.10.5 expect the response to monitoring and detection alerts to look like?,335
What does requirement 12.10.6 say to do with the incident response plan after lessons learned or industry changes?,336
How do you test compliance with 12.10.6?,336
What should the review process for the security incident response plan be able to show for 12.10.6.a?,336
What do you need to confirm in interviews and plan review for 12.10.6.b?,336
What is the objective for the customized approach under 12.10.6?,336
What must incident response procedures cover when stored PAN is found where it shouldn’t be?,337
How do you verify 12.10.7 is in place and ready to use?,337
What should the team do if PAN is discovered outside the CDE?,337
What evidence is checked to confirm the response process was actually followed after finding unexpected PAN?,337
Which PCI DSS requirement says the organization has to have an incident response process for stored PAN in an unexpected location?,337
What logical separation has to be in place for a multi-tenant service provider under A1.1.1?,340
How do you test that the provider and customers are kept separate in A1.1.1?,340
Can the provider access a customer environment without authorization under A1.1.1?,340
Can customers reach the provider’s environment without authorization under A1.1.1?,340
"Is A1.1.1 mandatory yet, or still a best practice until 31 March 2025?",340
What does A1.1.2 require for customer access to cardholder data and the CDE in a multi-tenant setup?,341
How is A1.1.2 verified during an assessment?,341
What does A1.1.3 require about the resources each customer can access?,341
How do you test compliance with A1.1.3?,341
"Under A1, how do controls stop one customer from reaching another customer’s environment or data?",341
How often do we need to prove customer environment separation still works?,342
What kind of test is required for the logical separation controls in A1.1.4?,342
How do assessors verify compliance with A1.1.4?,342
What does A1.1.4 say about testing customer-to-customer isolation in a multi-tenant service provider setup?,342
"Is the separation-testing requirement in A1.1.4 mandatory yet, or still a best practice until a certain date?",342
What audit log features have to be turned on for each customer environment under A1.2.1?,343
"For A1.2.1, who is allowed to review a customer’s logs?",343
How does the provider have to tell customers where their logs are stored?,343
What do I need to check to prove A1.2.1 is met?,343
What is the objective of the customized approach for A1.2?,343
What processes or tools are required to help with a fast forensic investigation after a suspected or confirmed security incident for a customer?,344
How do you prove the provider can support a prompt forensic investigation of the related servers when an incident is suspected or confirmed?,344
What does requirement A1.2.2 require the provider to have in place for customer incidents?,344
"When auditors review A1.2.2, what documented evidence should they inspect?",344
What is the objective behind A1.2.2 for customers facing a suspected or confirmed security incident?,344
What process do we need so customers can securely report suspected security incidents or vulnerabilities?,345
How must suspected or confirmed incidents and vulnerabilities be handled after they’re reported?,345
What should auditors review to confirm A1.2.3 is in place?,345
Which PCI DSS requirement does A1.2.3 point to for remediation timing and handling?,345
"Is A1.2.3 mandatory now, or only a best practice until a certain date?",345
What has to be confirmed for POS POI terminals that still use SSL or early TLS?,347
How do you prove those terminals aren’t vulnerable to known SSL/TLS exploits?,347
Is A2.1.1 allowed to use the customized approach?,347
"Who is A2.1 meant to apply to, and who is it not meant for?",347
"If new SSL/TLS exploits appear, what needs to happen to the POS POI terminals?",347
What has a service provider with SSL or early TLS connection points to POS POI terminals got to have documented?,348
What details need to be included in the Risk Mitigation and Migration Plan for A2.1.2?,348
How do you verify compliance with A2.1.2 during a service provider assessment?,348
"Does A2.1.2 apply to merchants, or only to service providers?",348
Can A2.1.2 be met using the customized approach?,348
What does a service provider have to offer for A2.1.3?,349
How do you verify compliance with A2.1.3 during a service provider assessment?,349
"Does A2.1.3 apply to merchants, or only to service providers?",349
What secure option must the provider’s service include under A2.1.3?,349
Is A2.1.3 allowed under the customized approach?,349
What does A3.1 require for a PCI DSS compliance program?,352
Who has to be assigned responsibility for protecting account data and running PCI DSS compliance under A3.1.1?,352
What has to be included in the PCI DSS compliance program charter for A3.1.1?,352
How often do executive management and the board need updates on PCI DSS compliance issues and remediation?,352
How do assessors verify A3.1.1 compliance?,352
What has to be included in a formal PCI DSS compliance program under A3.1.2?,353
How do you verify A3.1.2 during an assessment?,353
Does A3.1.2 allow the customized approach?,353
What kind of process is required for checking PCI DSS compliance on an ongoing basis?,353
Is there a required process for assessing PCI DSS impact when making major business decisions under A3.1.2?,353
What PCI DSS compliance duties have to be formally assigned under A3.1.3?,354
Who needs to own PCI DSS compliance roles and responsibilities for A3.1.3?,354
How do you check that the people assigned to PCI DSS compliance responsibilities actually know and do their jobs?,354
Which requirement covers formally defining PCI DSS compliance roles and responsibilities?,354
Is A3.1.3 allowed to use the customized approach?,354
"What training has to be given to people who handle PCI DSS compliance work, and how often?",355
How do you prove that compliance staff get current PCI DSS or security training every year?,355
"Under A3.1.4, who is required to receive training?",355
What evidence should an assessor look at to check annual training for PCI DSS responsibility roles?,355
Is A3.1.4 allowed under the customized approach?,355
How often has PCI DSS scope got to be reviewed and rechecked for accuracy?,356
What has to be included when validating scope for A3.2.1?,356
What should be done if card data is found outside the defined CDE?,356
How does an assessor verify the scope review cadence under A3.2.1.a?,356
What evidence is needed to show the quarterly scope review covered all required items under A3.2.1.b?,356
"What has to be checked for every change to systems or networks, including new systems and new network links, under A3.2.2?",358
Which process steps are required when assessing whether a system or network change affects PCI DSS scope?,358
"Who has to approve the results of the impact assessment for a change, according to A3.2.2?",358
How is compliance with A3.2.2 tested during an assessment?,358
Is A3.2.2 allowed to use the customized approach?,358
What has to be checked after a system or network change is finished?,359
How do you test that PCI DSS controls were carried through in a change?,359
"Does every change require documentation to be updated, and when?",359
What does A3.2.2.1 require for new or modified systems and networks?,359
"For the A3.2.2.1 review, what evidence should be examined and who should be interviewed?",359
What does A3.2.3 require after an org chart or management change?,360
How do you verify compliance with A3.2.3?,360
Does A3.2.3 allow the customized approach?,360
What kind of review has to happen when the company structure changes?,360
Which PCI DSS requirement does A3.2.3 point back to?,360
What has to be done to confirm PCI DSS scope when segmentation is in place under A3.2.4?,361
"How often does segmentation testing need to happen, and when else is it required after changes?",361
What must the penetration test for segmentation cover and prove about the CDE?,361
Which PCI DSS requirement defines the methodology used for confirming scope with segmentation?,361
"What do assessors need to look at to verify compliance with A3.2.4, and is customized approach allowed?",361
What data-discovery process has to be in place for cleartext PAN?,362
"How often do we need to search for all cleartext PAN locations, and when else must it be done?",362
"Does the search have to include systems outside the current CDE, or only within it?",362
How do you prove A3.2.5 is met during an assessment?,362
What evidence should an assessor review for requirement A3.2.5?,362
What has to be tested in the data-discovery process for A3.2.5.1?,363
How do we show the data-discovery methods can find cleartext PAN across all system types and file formats?,363
How often must the effectiveness of data-discovery methods be confirmed under A3.2.5.1?,363
What should the auditor review or ask for to verify A3.2.5.1 is being met?,363
Is A3.2.5.1 allowed to use the customized approach?,363
What do we have to do when cleartext PAN is found outside the CDE?,364
What steps need to be covered in the response procedure for cleartext PAN outside the CDE?,364
How do we verify A3.2.5.2 is met?,364
What should the review of response procedures confirm under A3.2.5.2.a?,364
What do interviews and records need to show for A3.2.5.2.b?,364
What controls are required to stop cleartext PAN from leaving the CDE through an unauthorized path?,365
"What kinds of leaks should the monitoring cover, like email, removable media, or printers?",365
How do you prove the PAN-blocking mechanisms are actually working and properly configured?,365
What evidence has to be reviewed to test requirement A3.2.6?,365
"Do the controls need to be running live, create logs, and generate alerts when they catch a leak?",365
What response steps are required when cleartext PAN is detected leaving the CDE through an unauthorized route?,366
What should the alert investigation process include for A3.2.6.1?,366
What remediation actions have to be part of the procedure to avoid data loss from cleartext PAN leaks?,366
How do assessors verify A3.2.6.1 under the defined approach?,366
Is A3.2.6.1 allowed under the customized approach?,366
What kinds of critical security control failures must be detected and alerted on right away under A3.3.1?,367
How do assessors verify that prompt failure-detection and alerting processes are in place for critical security controls?,367
Which specific controls are named in A3.3.1 as examples of critical security controls that must have failure handling?,367
What does A3.3 say about PCI DSS being part of day-to-day business activities?,367
Is A3.3.1 allowed to use the customized approach?,367
What has to happen when a critical security control fails?,368
"For A3.3.1.1, what steps must the response process include?",368
How do you test compliance with the prompt-response requirement for security control failures?,368
What evidence has to show up in the records for a security control failure under A3.3.1.1.b?,368
Is A3.3.1.1 allowed under the customized approach?,368
How often do hardware and software technologies need to be reviewed under A3.3.2?,369
What does A3.3.2 require an organization to confirm during those technology reviews?,369
How do assessors verify compliance with A3.3.2?,369
"If a technology no longer meets PCI DSS, what must be in place according to A3.3.2?",369
Is A3.3.2 allowed under the customized approach?,369
"What does A3.3.3 require for checking BAU activities, and how often must it happen?",370
Who has to perform the A3.3.3 reviews?,370
What specific items must be confirmed during the A3.3.3 review?,370
"What evidence and records have to be kept for A3.3.3, and for how long?",370
How is A3.3.3 tested during an assessment?,370
How often must user accounts and access rights for in-scope systems be reviewed under A3.4.1?,371
What has to be confirmed during the six-month access review for A3.4.1?,371
Which requirement says logical access to the cardholder data environment must be controlled and managed?,371
What evidence do assessors look for to verify A3.4.1 access reviews?,371
Is A3.4.1 allowed under the customized approach?,371
What does A3.5.1 require for spotting attack patterns and suspicious behavior across systems?,372
How quickly do anomalies or suspicious activity have to be identified under A3.5.1?,372
"Who has to get alerted when suspicious activity is detected, and what should they do next?",372
What do you need to examine and ask personnel to prove A3.5.1 is in place?,372
Is A3.5.1 allowed under the customized approach?,372
